x,y,latent,bandcontrast,cluster
74,194,6.985356e-05,52.0,1
75,194,0.00015818945,53.0,1
76,194,0.00031447195,51.0,1
77,194,0.00028193032,50.0,1
78,194,0.00030634535,54.0,1
79,194,0.00045450055,49.0,1
80,194,0.00011891115,56.0,1
81,194,0.00035152806,64.0,1
82,194,9.635388e-05,69.0,1
83,194,-3.0593772e-05,73.0,1
84,194,0.00018864917,85.0,2
85,194,0.00011180068,86.0,2
86,194,0.00015771034,94.0,2
87,194,-3.884494e-05,88.0,2
88,194,0.00012243865,77.0,1
89,194,0.0006781211,55.0,1
20,195,-0.00027955516,160.0,0
21,195,3.0484865e-05,156.0,0
22,195,2.5671325e-06,160.0,0
23,195,0.00012347195,158.0,0
24,195,-6.906071e-05,159.0,0
25,195,-0.0001336757,160.0,0
26,195,-2.5546877e-05,158.0,0
27,195,-0.0002660383,154.0,0
28,195,-0.00018107443,132.0,0
29,195,0.00012324518,90.0,2
30,195,4.8198563e-05,73.0,1
31,195,1.0093208e-05,72.0,1
32,195,0.00011601427,82.0,1
33,195,0.00024438422,98.0,2
34,195,0.00012275472,90.0,2
35,195,0.00021959934,98.0,2
36,195,0.00012993591,101.0,2
37,195,0.00025387318,111.0,2
38,195,0.00029607862,96.0,2
39,195,0.00054774166,80.0,1
40,195,0.00026978797,62.0,1
41,195,0.0003887597,51.0,1
42,195,5.0618837e-05,58.0,1
43,195,0.0004517426,55.0,1
44,195,0.0006307146,69.0,1
45,195,0.00015929423,56.0,1
46,195,0.00033475348,55.0,1
47,195,0.00025370094,72.0,1
48,195,0.00045342906,59.0,1
49,195,0.00010617555,65.0,1
50,195,0.0002495104,69.0,1
51,195,0.00021705998,71.0,1
52,195,0.00022724841,63.0,1
53,195,2.5988615e-05,63.0,1
54,195,0.00037787773,74.0,1
55,195,0.0002953236,66.0,1
56,195,0.00036123488,71.0,1
57,195,0.0001484782,62.0,1
58,195,-2.1201558e-05,82.0,1
59,195,0.00021228124,94.0,2
60,195,6.917986e-05,85.0,2
61,195,0.0002668926,90.0,2
62,195,0.0001722746,102.0,2
63,195,0.00010646926,84.0,2
64,195,-1.4006102e-05,74.0,1
65,195,0.00043505838,56.0,1
66,195,,41.0,-1
67,195,,44.0,-1
68,195,,41.0,-1
69,195,,40.0,-1
70,195,,34.0,-1
71,195,,44.0,-1
72,195,,43.0,-1
73,195,0.00029923598,46.0,1
74,195,-5.552481e-05,61.0,1
75,195,0.00025939144,55.0,1
76,195,7.958122e-05,59.0,1
77,195,0.0003689776,60.0,1
78,195,0.00016902847,60.0,1
79,195,0.00014830253,64.0,1
80,195,0.00017592456,68.0,1
81,195,0.00015397958,66.0,1
82,195,1.3664365e-05,65.0,1
83,195,0.0002220475,67.0,1
84,195,0.00016366167,72.0,1
85,195,0.00032729137,75.0,1
86,195,0.00042392343,85.0,2
87,195,0.000109405664,87.0,2
88,195,0.00040398433,78.0,1
89,195,0.00025572907,71.0,1
20,196,-7.485156e-05,154.0,0
21,196,-0.00010542193,160.0,0
22,196,-0.00019802822,157.0,0
23,196,-8.4531726e-05,158.0,0
24,196,2.5092566e-05,156.0,0
25,196,-7.329008e-05,158.0,0
26,196,-1.0967895e-05,156.0,0
27,196,-0.00010652264,155.0,0
28,196,2.401811e-05,136.0,0
29,196,5.176419e-05,119.0,2
30,196,1.6794656e-05,100.0,2
31,196,0.00011051266,82.0,1
32,196,0.00032378174,68.0,1
33,196,0.00020397967,88.0,2
34,196,0.00022002863,90.0,2
35,196,0.00021516677,84.0,2
36,196,0.00044243142,98.0,2
37,196,-6.513327e-05,100.0,2
38,196,0.00013554911,92.0,2
39,196,0.00036666123,82.0,1
40,196,1.0031799e-05,66.0,1
41,196,0.0002881264,48.0,1
42,196,0.00016020803,64.0,1
43,196,0.00046531105,71.0,1
44,196,0.00015141245,76.0,1
45,196,0.00042363792,76.0,1
46,196,-0.00011242245,61.0,1
47,196,6.5541826e-06,78.0,1
48,196,0.0003334215,71.0,1
49,196,-8.8189554e-05,79.0,1
50,196,0.0003502561,67.0,1
51,196,8.239737e-05,76.0,1
52,196,0.00011067581,74.0,1
53,196,0.0002871878,84.0,2
54,196,0.00027894753,78.0,1
55,196,0.0001532908,77.0,1
56,196,0.00041488803,65.0,1
57,196,-4.0595478e-05,58.0,1
58,196,0.00021473016,75.0,1
59,196,7.441925e-05,70.0,1
60,196,0.00016990432,81.0,1
61,196,0.00011516572,79.0,1
62,196,0.00025634596,91.0,2
63,196,9.9569384e-05,62.0,1
64,196,0.00014339236,49.0,1
65,196,,42.0,-1
66,196,0.00040381885,46.0,1
67,196,0.00026163913,47.0,1
68,196,,43.0,-1
69,196,,37.0,-1
70,196,,39.0,-1
71,196,,44.0,-1
72,196,0.0005346738,52.0,1
73,196,0.0004009286,53.0,1
74,196,0.00021806982,63.0,1
75,196,0.0002730629,65.0,1
76,196,0.00012353115,63.0,1
77,196,0.00037518074,69.0,1
78,196,0.00024574355,78.0,1
79,196,0.0003456091,66.0,1
80,196,0.00050465274,69.0,1
81,196,6.08532e-06,67.0,1
